date,open,high,low,close,volume,average,barCount
2025-05-19 11:07:00-04:00,519.26,519.28,518.88,518.94,76060.0,519.079,419
2025-05-19 11:08:00-04:00,518.93,519.05,518.57,519.05,86387.0,518.8,495
2025-05-19 11:09:00-04:00,519.04,519.19,518.99,519.19,51757.0,519.067,304
2025-05-19 11:10:00-04:00,519.19,519.29,519.12,519.17,44887.0,519.213,280
2025-05-19 11:11:00-04:00,519.19,519.62,519.18,519.58,92132.0,519.434,553
2025-05-19 11:12:00-04:00,519.58,519.71,519.41,519.42,95454.0,519.608,486
2025-05-19 11:13:00-04:00,519.41,519.64,519.3,519.64,72162.0,519.477,321
2025-05-19 11:14:00-04:00,519.64,519.66,519.48,519.54,40165.0,519.596,234
2025-05-19 11:15:00-04:00,519.52,519.66,519.48,519.59,57029.0,519.567,314
2025-05-19 11:16:00-04:00,519.59,519.62,519.5,519.58,12446.0,519.565,93
